region_id,region_name_hash
1,Region_1
2,Region_2
3,Region_3
4,Region_4
5,Region_5
6,Region_6
7,Region_7
8,Region_8
9,Region_9
10,Region_10
11,Region_11
12,Region_12
13,Region_13
14,Region_14
15,Region_15
16,Region_16
17,Region_17
18,Region_18
19,Region_19
20,Region_20
21,Region_21
22,Region_22
23,Region_23
24,Region_24
25,Region_25
26,Region_26
27,Region_27
28,Region_28
29,Region_29
30,Region_30
31,Region_31
32,Region_32
33,Region_33
34,Region_34
35,Region_35
36,Region_36
37,Region_37
38,Region_38
39,Region_39
40,Region_40
41,Region_41
42,Region_42
43,Region_43
44,Region_44
45,Region_45
46,Region_46
47,Region_47
48,Region_48
49,Region_49
50,Region_50
