user_id,region_id,account_balance
1,27,405.69
2,27,372.71
3,17,837.44
4,35,143.13
5,37,157.03
6,7,107.72
7,39,449.58
8,12,823.24
9,9,606.68
10,17,331.58
11,47,136.99
12,2,43.58
13,41,191.89
14,44,592.15
15,6,277.41
16,2,583.37
17,49,785.23
18,25,973.25
19,36,897.82
20,35,520.49
21,16,586.76
22,29,759.7
23,38,636.16
24,5,640.46
25,20,176.33
26,13,544.78
27,40,106.43
28,42,979.08
29,9,411.82
30,5,242.9
31,11,498.15
32,4,619.88
33,30,849.64
34,32,423.44
35,23,315.3
36,13,109.32
37,34,516.7
38,10,106.55
39,36,28.21
40,32,982.66
41,18,367.85
42,36,546.35
43,9,600.95
44,49,888.05
45,12,674.03
46,8,665.65
47,49,997.55
48,45,427.57
49,14,722.1
50,11,584.84
51,37,738.38
52,13,179.41
53,47,413.41
54,34,499.47
55,5,944.84
56,24,578.63
57,32,413.93
58,21,489.32
59,43,220.55
60,2,171.37
61,8,145.92
62,37,642.1
63,18,208.54
64,43,598.52
65,12,873.19
66,25,363.66
67,1,148.56
68,3,188.96
69,43,570.81
70,23,841.36
71,32,730.93
72,34,91.11
73,50,508.86
74,11,288.17
75,43,930.43
76,48,888.45
77,27,680.4
78,29,56.77
79,17,73.61
80,14,153.94
81,47,452.37
82,41,761.45
83,41,321.86
84,19,993.4
85,17,340.91
86,41,80.3
87,35,671.71
88,24,375.31
89,29,265.03
90,27,462.63
91,29,182.59
92,35,348.24
93,27,112.99
94,4,323.83
95,48,4.28
96,18,987.16
97,29,383.54
98,3,691.76
99,16,701.55
100,6,774.45
101,34,656.41
102,33,952.34
103,19,645.14
104,13,7.87
105,20,645.6
106,21,810.12
107,21,433.0
108,2,869.89
109,28,78.47
110,26,277.73
111,39,805.1
112,34,641.36
113,34,928.44
114,32,666.98
115,50,236.07
116,26,50.85
117,28,138.68
118,49,949.39
119,14,264.29
120,33,333.52
121,19,397.32
122,27,970.28
123,24,340.95
124,25,114.84
125,38,776.52
126,27,313.8
127,13,39.51
128,40,719.05
129,50,1.9
130,29,392.82
131,26,813.94
132,19,410.75
133,31,465.32
134,31,382.07
135,34,749.21
136,23,358.91
137,18,829.28
138,37,702.75
139,19,953.57
140,15,854.46
141,5,699.36
142,33,169.62
143,6,542.73
144,5,161.92
145,23,889.28
146,3,991.69
147,46,586.42
148,6,739.26
149,40,100.44
150,11,738.35
151,16,748.06
152,10,970.2
153,16,147.51
154,24,147.15
155,8,707.97
156,21,980.78
157,29,192.67
158,7,175.26
159,23,126.5
160,38,421.1
161,7,7.22
162,11,940.6
163,5,590.44
164,25,964.82
165,27,795.65
166,44,19.47
167,40,626.37
168,25,918.52
169,14,721.11
170,8,132.0
171,47,524.35
172,22,118.75
173,9,635.7
174,9,453.73
175,35,623.01
176,28,168.63
177,28,334.46
178,27,195.74
179,20,268.97
180,47,560.01
181,42,427.54
182,23,409.24
183,48,10.28
184,2,829.22
185,14,79.02
186,14,576.4
187,11,942.36
188,33,479.66
189,34,574.2
190,21,567.09
191,33,7.65
192,28,274.09
193,38,37.37
194,14,472.58
195,37,245.06
196,22,285.45
197,35,92.55
198,5,577.8
199,26,733.51
200,29,693.43
201,31,692.0
202,13,84.89
203,18,875.38
204,26,395.85
205,24,417.14
206,11,937.01
207,25,788.88
208,40,786.79
209,11,556.71
210,14,109.65
211,25,672.84
212,8,981.94
213,21,58.73
214,4,2.67
215,8,737.9
216,36,173.55
217,44,217.14
218,44,39.54
219,50,214.01
220,10,455.89
221,13,779.48
222,6,782.02
223,16,789.72
224,23,106.96
225,1,96.57
226,20,953.94
227,23,50.52
228,32,798.55
229,41,192.36
230,3,330.51
231,5,762.57
232,12,409.89
233,25,440.02
234,4,33.78
235,24,267.17
236,32,470.8
237,2,825.39
238,19,85.53
239,31,558.41
240,35,382.09
241,18,169.37
242,36,257.21
243,35,143.33
244,22,794.01
245,9,652.32
246,36,514.18
247,1,486.62
248,17,606.32
249,19,950.8
250,11,589.66
251,41,326.74
252,14,708.93
253,1,570.64
254,12,808.21
255,44,775.46
256,23,857.41
257,20,350.76
258,10,461.62
259,45,61.29
260,42,7.28
261,11,239.05
262,17,366.98
263,42,135.66
264,42,511.13
265,5,43.82
266,33,189.29
267,13,96.32
268,18,543.45
269,3,485.56
270,38,957.5
271,47,726.79
272,48,635.25
273,48,870.77
274,41,149.97
275,11,950.8
276,49,775.39
277,10,667.12
278,5,607.45
279,46,37.15
280,40,842.91
281,28,766.81
282,50,184.62
283,38,881.47
284,19,763.77
285,2,195.73
286,33,950.57
287,13,410.63
288,43,805.15
289,10,285.03
290,48,882.13
291,2,196.83
292,49,815.68
293,16,462.87
294,15,559.26
295,34,489.88
296,4,119.46
297,41,458.02
298,24,989.66
299,13,587.77
300,45,274.36
301,44,41.33
302,7,808.59
303,49,632.17
304,9,152.3
305,33,439.4
306,24,51.94
307,45,228.0
308,26,439.56
309,38,455.43
310,40,873.03
311,20,110.97
312,11,251.87
313,39,524.16
314,9,96.16
315,42,256.82
316,36,458.76
317,42,326.54
318,39,969.65
319,26,922.58
320,15,318.31
321,17,474.2
322,7,212.63
323,5,347.8
324,46,641.38
325,45,143.69
326,37,475.71
327,26,948.08
328,50,406.19
329,12,904.56
330,39,324.97
331,43,508.8
332,10,276.35
333,21,575.86
334,44,596.06
335,40,13.62
336,15,832.45
337,21,915.84
338,29,682.29
339,44,345.0
340,3,296.44
341,11,755.74
342,30,587.66
343,28,110.33
344,11,989.52
345,49,746.97
346,1,288.7
347,30,127.58
348,1,439.35
349,3,161.09
350,41,721.2
351,2,982.72
352,50,480.54
353,37,463.62
354,26,602.3
355,25,186.55
356,1,165.88
357,16,535.18
